date,store_name,store_id,device_id,gps_location
1610980786000,Rewe,place_207,18366,POINT (13.44771 52.50609)
1610954778000,Aldi,place_96,17618,POINT (13.441189 52.408785)
1610954102000,Aldi,place_135,30846,POINT (13.57817 52.5666)
1610998428000,McDonald's,place_4,156211,POINT (13.3636638 52.5605446)
1610979787000,Aldi,place_108,38033,POINT (13.434627 52.35831500000001)
1610962082000,Rewe,place_176,44033,POINT (13.261543 52.48742579999999)
1610960023000,Rewe,place_200,49145,POINT (13.2805919 52.3965494)
1610995914000,Aldi,place_97,43644,POINT (13.5265987 52.4239827)
1610971714000,Aldi,place_130,35561,POINT (13.328183 52.570663)
1610958068000,Kaufland,place_226,43709,POINT (13.45692 52.53363)
1610932263000,Rewe,place_159,89960,POINT (13.365292 52.571911)
1610987981000,Renault,place_238,44659,POINT (13.3684866 52.48532660000001)
1610973266000,Rewe,place_193,45395,POINT (13.4061106 52.3532634)
1610957794000,Aldi,place_109,47558,POINT (13.4307335 52.492415)
1610957703000,Kaufland,place_225,41164,POINT (13.36759 52.46233)
1610956361000,Rewe,place_157,33606,POINT (13.4326229 52.55066479999999)
1610978859000,McDonald's,place_31,42195,POINT (13.4349537 52.5094921)
1610981734000,Aldi,place_102,41476,POINT (13.2913807 52.3910554)
1610955783000,Aldi,place_69,37572,POINT (13.4219844 52.4654968)
1610986472000,Rewe,place_210,61577,POINT (13.2240146 52.413029)
1610962143000,Kaufland,place_227,40899,POINT (13.214394 52.5291698)
1610982408000,Kaufland,place_224,82990,POINT (13.1855938 52.520996)
1610959135000,Rewe,place_210,61577,POINT (13.2240667 52.413017)
1610995833000,Aldi,place_97,43644,POINT (13.5266982 52.4239489)
1610970034000,Kaufland,place_224,163252,POINT (13.18649 52.52161)
1610985190000,Rewe,place_148,46137,POINT (13.52163 52.49815)
1610961664000,Aldi,place_123,38591,POINT (13.2483028 52.540973)
1610961251000,McDonald's,place_8,81131,POINT (13.4331 52.35852)
1610974279000,Rewe,place_167,44512,POINT (13.31125 52.46836999999999)
1610986394000,Rewe,place_148,46137,POINT (13.52148 52.49821)
1610963421000,Kaufland,place_218,42991,POINT (13.240579 52.39618400000001)
1610963052000,Rewe,place_153,43298,POINT (13.490718 52.543725)
1610981142000,Kaufland,place_217,33821,POINT (13.3733529 52.5590995)
1610974330000,Rewe,place_176,44033,POINT (13.2615624 52.4874769)
1610979280000,Rewe,place_210,61577,POINT (13.2240533 52.4130854)
1610990150000,McDonald's,place_28,33506,POINT (13.386371 52.52035400000001)
1610982036000,Rewe,place_200,49145,POINT (13.2806479 52.396587)
1610964249000,Rewe,place_203,41255,POINT (13.49335 52.41291)
1610998073000,McDonald's,place_4,156211,POINT (13.3637298 52.5605664)
1610954902000,McDonald's,place_8,81131,POINT (13.4331 52.35853)
1610965785000,Kaufland,place_224,48287,POINT (13.18619 52.52136)
