date,store_name,store_id,unique_visits,total_signals,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-02,Aldi,place_80,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_81,5,89,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1
2021-01-02,Aldi,place_82,4,5,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,1
2021-01-02,Aldi,place_83,9,37,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1
2021-01-02,Aldi,place_84,6,42,1,1,2,1,1,2,1,2,2,2,1,1,2,1,1,1
2021-01-02,Aldi,place_85,4,8,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1
2021-01-02,Aldi,place_87,3,7,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-02,Aldi,place_88,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_90,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_92,3,6,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1
2021-01-02,Aldi,place_93,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_95,3,10,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2
2021-01-02,Aldi,place_96,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_98,6,14,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1
2021-01-02,Aldi,place_99,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Burger King,place_35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Burger King,place_38,2,12,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Burger King,place_39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Burger King,place_40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Burger King,place_41,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Kaufland,place_213,20,142,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2
2021-01-02,Kaufland,place_214,42,193,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2
2021-01-02,Kaufland,place_215,19,104,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1
2021-01-02,Kaufland,place_216,24,210,1,2,2,2,1,2,1,1,2,2,1,2,2,1,2,1
2021-01-02,Kaufland,place_217,14,51,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,1
2021-01-02,Kaufland,place_218,11,31,1,2,1,1,1,2,2,1,1,2,1,2,2,2,2,2
2021-01-02,Kaufland,place_219,11,89,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1
2021-01-02,Kaufland,place_220,15,82,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2
2021-01-02,Kaufland,place_221,23,126,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2
2021-01-02,Kaufland,place_223,21,107,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1
2021-01-02,Kaufland,place_224,18,132,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,1
2021-01-02,Kaufland,place_225,18,135,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2
2021-01-02,Kaufland,place_226,21,87,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2
2021-01-02,Kaufland,place_227,16,84,2,1,1,1,1,2,2,1,2,2,1,1,2,1,2,2
2021-01-02,McDonald's,place_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_13,6,25,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1
2021-01-02,McDonald's,place_15,3,10,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1
2021-01-02,McDonald's,place_17,2,3,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2
2021-01-02,McDonald's,place_18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2021-01-02,McDonald's,place_20,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_22,2,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
2021-01-02,McDonald's,place_25,5,6,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_26,5,17,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2
2021-01-02,McDonald's,place_27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_29,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_3,2,27,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1
2021-01-02,McDonald's,place_30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,McDonald's,place_31,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1
2021-01-02,McDonald's,place_32,4,7,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1
2021-01-02,McDonald's,place_33,5,9,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1
2021-01-02,McDonald's,place_4,2,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
