date,store_name,store_id,device_id,gps_location,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-05,McDonald's,place_26,2271,POINT (13.4649261 52.43623879999999),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Kaufland,place_215,45037,POINT (13.21887 52.53768),0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2021-01-04,Rewe,place_199,45575,POINT (13.4488434 52.42191920000001),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Kaufland,place_215,49519,POINT (13.219066 52.5385255),0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2021-01-04,Kaufland,place_220,46036,POINT (13.31268 52.42307),0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2021-01-05,Rewe,place_193,4769,POINT (13.406 52.35344),0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
2021-01-05,Rewe,place_138,1814,POINT (13.544529 52.677233),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Kaufland,place_221,78017,POINT (13.4479461 52.4368181),0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,McDonald's,place_2,20940,POINT (13.46841 52.54711999999999),0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2021-01-05,McDonald's,place_4,33762,POINT (13.3634807 52.5604974),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_225,27224,POINT (13.3678665 52.462372),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_191,26313,POINT (13.52911 52.62937),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_183,19516,POINT (13.5300995 52.4515481),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2021-01-05,Rewe,place_153,18364,POINT (13.49075 52.543761),0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2021-01-05,Rewe,place_209,24024,POINT (13.440801 52.394702),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,McDonald's,place_4,33762,POINT (13.3634859 52.5604962),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_138,30779,POINT (13.5447674 52.67719690000001),0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_211,32408,POINT (13.59405 52.5293),0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Aldi,place_113,26401,POINT (13.268441 52.408178),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_183,19516,POINT (13.5300185 52.45156770000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2021-01-05,Kaufland,place_224,29530,POINT (13.18582 52.52095),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-05,Kaufland,place_227,18326,POINT (13.2144063 52.5292072),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_224,16207,POINT (13.1865535 52.5211755),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_227,33653,POINT (13.21427 52.5291),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
